rid,proc1,proc2,proc3,proc4,proc5,w1commitnum,w1commithrs,w1commitoverw,w1freetime,w3tsq8,w1tsq13,w1tsq14,gendermale,genderfemal,pro_sum,gender
166568649,2.0,2.0,2.0,2.0,2.0,7.0,15.0,4.0,3.0,5.0,7.0,4.0,0.0,1.0,10.0,Female
166568651,2.0,4.0,3.0,2.0,3.0,8.0,29.0,3.0,2.0,4.0,6.0,2.0,0.0,1.0,14.0,Female
166568658,1.0,1.0,4.0,1.0,1.0,4.0,28.0,3.0,2.0,5.0,6.0,4.0,1.0,0.0,8.0,Male
166568718,2.0,2.0,3.0,2.0,3.0,10.0,28.0,4.0,3.0,5.0,7.0,4.0,0.0,1.0,12.0,Female
166568786,2.0,2.0,2.0,2.0,2.0,2.0,10.0,4.0,3.0,4.0,6.0,4.0,0.0,1.0,10.0,Female
166568847,1.0,2.0,3.0,2.0,1.0,2.0,45.0,3.0,3.0,7.0,7.0,6.0,0.0,1.0,9.0,Female
166568943,1.0,1.0,1.0,1.0,1.0,8.0,6.0,5.0,2.0,5.0,7.0,5.0,0.0,1.0,5.0,Female
166568973,2.0,2.0,3.0,1.0,2.0,3.0,8.0,2.0,3.0,4.0,4.0,2.0,0.0,1.0,10.0,Female
166569131,4.0,4.0,2.0,2.0,4.0,11.0,60.0,5.0,2.0,4.0,5.0,5.0,0.0,1.0,16.0,Female
166569496,1.0,1.0,1.0,1.0,1.0,2.0,10.0,3.0,3.0,3.0,6.0,3.0,0.0,1.0,5.0,Female
166569514,1.0,5.0,3.0,2.0,1.0,3.0,36.0,3.0,2.0,3.0,5.0,4.0,0.0,1.0,12.0,Female
166570313,1.0,1.0,4.0,3.0,1.0,7.0,60.0,3.0,2.0,7.0,7.0,2.0,0.0,1.0,10.0,Female
166570481,1.0,2.0,2.0,1.0,1.0,4.0,10.0,3.0,3.0,5.0,5.0,3.0,0.0,1.0,7.0,Female
166570487,3.0,3.0,5.0,4.0,3.0,17.0,48.0,5.0,2.0,3.0,4.0,5.0,0.0,1.0,18.0,Female
166570998,2.0,4.0,4.0,1.0,1.0,4.0,24.0,4.0,2.0,5.0,6.0,3.0,0.0,1.0,12.0,Female
166571073,4.0,4.0,4.0,4.0,3.0,10.0,40.0,3.0,3.0,6.0,6.0,4.0,0.0,1.0,19.0,Female
166571644,1.0,1.0,2.0,1.0,1.0,5.0,27.0,4.0,2.0,5.0,7.0,4.0,0.0,1.0,6.0,Female
166572327,2.0,4.0,5.0,2.0,1.0,3.0,25.0,5.0,3.0,6.0,7.0,5.0,0.0,1.0,14.0,Female
166572622,1.0,2.0,3.0,2.0,1.0,4.0,50.0,3.0,2.0,5.0,7.0,3.0,0.0,1.0,9.0,Female
166572755,4.0,3.0,1.0,4.0,4.0,4.0,60.0,3.0,2.0,4.0,5.0,6.0,0.0,1.0,16.0,Female
166575840,3.0,5.0,5.0,5.0,5.0,2.0,28.0,3.0,3.0,7.0,4.0,7.0,0.0,1.0,23.0,Female
166575886,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,6.0,3.0,1.0,0.0,8.0,Male
166577507,3.0,3.0,3.0,4.0,4.0,2.0,16.0,2.0,3.0,7.0,7.0,6.0,0.0,1.0,17.0,Female
166578693,5.0,5.0,4.0,4.0,4.0,3.0,55.0,3.0,2.0,7.0,7.0,7.0,0.0,1.0,22.0,Female
166578760,4.0,3.0,3.0,3.0,4.0,2.0,44.0,3.0,3.0,5.0,5.0,5.0,0.0,1.0,17.0,Female
166579099,4.0,4.0,3.0,2.0,2.0,3.0,24.0,3.0,3.0,6.0,7.0,7.0,0.0,1.0,15.0,Female
166579346,1.0,1.0,3.0,1.0,1.0,5.0,17.0,4.0,3.0,7.0,7.0,4.0,0.0,1.0,7.0,Female
166579496,4.0,4.0,5.0,4.0,5.0,2.0,15.0,3.0,3.0,6.0,7.0,5.0,0.0,1.0,22.0,Female
166580216,1.0,1.0,1.0,1.0,1.0,3.0,55.0,4.0,2.0,3.0,7.0,3.0,1.0,0.0,5.0,Male
166580291,1.0,2.0,4.0,1.0,1.0,5.0,49.0,4.0,2.0,5.0,6.0,7.0,0.0,1.0,9.0,Female
166580579,2.0,2.0,3.0,2.0,2.0,2.0,30.0,2.0,3.0,5.0,7.0,5.0,0.0,1.0,11.0,Female
166580682,3.0,3.0,4.0,3.0,4.0,4.0,40.0,4.0,2.0,2.0,5.0,3.0,0.0,1.0,17.0,Female
166581043,1.0,3.0,3.0,1.0,2.0,7.0,42.0,2.0,2.0,4.0,4.0,4.0,1.0,0.0,10.0,Male
166581333,1.0,3.0,2.0,4.0,4.0,6.0,19.0,3.0,2.0,4.0,5.0,2.0,1.0,0.0,14.0,Male
166581334,3.0,3.0,4.0,4.0,4.0,4.0,32.0,3.0,3.0,6.0,6.0,4.0,0.0,1.0,18.0,Female
